exception_id,transaction_id,detected_date,exception_type,all_issues,risk_level,risk_score,status,amount_eur,payment_provider,currency,transaction_date,recommended_action,audit_note,anomaly_score
EX-1003,TX-100012,2026-07-24,Missing bank settlement,Missing bank settlement,High,90,Open,1086.15,P-02,EUR,2026-07-21,Check bank file ingestion and settlement batch.,Automated control detected missing bank settlement. No manual override applied.,70.6
EX-1008,TX-100055,2026-07-24,Missing bank settlement,Missing bank settlement,High,70,Open,453.79,P-03,EUR,2026-07-17,Check bank file ingestion and settlement batch.,Automated control detected missing bank settlement. No manual override applied.,65.6
EX-1032,TX-100330,2026-07-24,Missing bank settlement,Missing bank settlement,High,70,Open,183.33,P-03,EUR,2026-07-11,Check bank file ingestion and settlement batch.,Automated control detected missing bank settlement. No manual override applied.,64.6
EX-1043,TX-100501,2026-07-24,Missing bank settlement,Missing bank settlement,High,70,Open,125.08,P-03,EUR,2026-07-01,Check bank file ingestion and settlement batch.,Automated control detected missing bank settlement. No manual override applied.,66.2
EX-1013,TX-100101,2026-07-24,Missing bank settlement,Missing bank settlement,High,70,Open,106.5,P-03,EUR,2026-07-07,Check bank file ingestion and settlement batch.,Automated control detected missing bank settlement. No manual override applied.,66.2
EX-1011,TX-100079,2026-07-24,Missing regulatory classification,Missing regulatory classification,High,55,Open,1282.57,P-01,GBP,2026-07-06,Complete classification before regulatory reporting.,Automated control detected missing regulatory classification. No manual override applied.,66.2
EX-1006,TX-100021,2026-07-24,Missing ledger posting,Missing ledger posting,Medium,53,In review,518.21,P-01,GBP,2026-07-22,Review journal interface and posting queue.,Automated control detected missing ledger posting. No manual override applied.,48.3
EX-1020,TX-100210,2026-07-24,Duplicate bank record,Duplicate bank record,Medium,50,In review,336.13,P-02,GBP,2026-07-12,Confirm reversal or duplicate bank-file ingestion.,Automated control detected duplicate bank record. No manual override applied.,43.3
EX-1030,TX-100312,2026-07-24,Missing ledger posting,Missing ledger posting,Medium,45,In review,356.03,P-01,EUR,2026-07-18,Review journal interface and posting queue.,Automated control detected missing ledger posting. No manual override applied.,45.0
EX-1049,TX-100598,2026-07-24,Amount mismatch,Amount mismatch,Medium,45,In review,267.85,P-02,EUR,2026-07-13,"Validate source amount, FX rate, and adjustment entries.",Automated control detected amount mismatch. No manual override applied.,43.7
EX-1047,TX-100590,2026-07-24,Missing ledger posting,Missing ledger posting,Medium,45,In review,251.12,P-03,EUR,2026-07-11,Review journal interface and posting queue.,Automated control detected missing ledger posting. No manual override applied.,45.6
EX-1027,TX-100275,2026-07-24,Amount mismatch,Amount mismatch,Medium,45,In review,162.0,P-01,EUR,2026-07-11,"Validate source amount, FX rate, and adjustment entries.",Automated control detected amount mismatch. No manual override applied.,43.0
EX-1010,TX-100067,2026-07-24,Amount mismatch,Amount mismatch,Medium,45,In review,131.32,P-02,GBP,2026-07-07,"Validate source amount, FX rate, and adjustment entries.",Automated control detected amount mismatch. No manual override applied.,45.6
EX-1034,TX-100366,2026-07-24,Amount mismatch,Amount mismatch,Medium,45,In review,97.2,P-01,GBP,2026-07-17,"Validate source amount, FX rate, and adjustment entries.",Automated control detected amount mismatch. No manual override applied.,47.8
EX-1016,TX-100142,2026-07-24,Amount mismatch,Amount mismatch,Medium,45,In review,78.47,P-01,GBP,2026-07-05,"Validate source amount, FX rate, and adjustment entries.",Automated control detected amount mismatch. No manual override applied.,49.8
EX-1007,TX-100034,2026-07-24,Amount mismatch,Amount mismatch,Medium,45,In review,66.79,P-02,EUR,2026-07-17,"Validate source amount, FX rate, and adjustment entries.",Automated control detected amount mismatch. No manual override applied.,52.4
EX-1039,TX-100465,2026-07-24,Settlement delay,Settlement delay,Medium,40,In review,423.57,P-03,EUR,2026-07-20,Check provider settlement status and cut-off timing.,Automated control detected settlement delay. No manual override applied.,68.3
EX-1012,TX-100088,2026-07-24,Settlement delay,Settlement delay,Medium,40,In review,279.07,P-03,EUR,2026-07-03,Check provider settlement status and cut-off timing.,Automated control detected settlement delay. No manual override applied.,75.7
EX-1018,TX-100189,2026-07-24,Settlement delay,Settlement delay,Medium,40,In review,254.62,P-01,GBP,2026-07-07,Check provider settlement status and cut-off timing.,Automated control detected settlement delay. No manual override applied.,68.6
EX-1041,TX-100481,2026-07-24,Unusual transaction pattern,Unusual transaction pattern,Medium,35,In review,3529.3,P-03,EUR,2026-07-06,Review the transaction pattern and supporting evidence.,Automated control detected unusual transaction pattern. No manual override applied.,76.5
EX-1029,TX-100311,2026-07-24,Unusual transaction pattern,Unusual transaction pattern,Medium,35,In review,2218.94,P-02,EUR,2026-07-06,Review the transaction pattern and supporting evidence.,Automated control detected unusual transaction pattern. No manual override applied.,74.1
EX-1004,TX-100015,2026-07-24,Unusual transaction pattern,Unusual transaction pattern,Medium,35,In review,1756.42,P-02,EUR,2026-07-01,Review the transaction pattern and supporting evidence.,Automated control detected unusual transaction pattern. No manual override applied.,71.4
EX-1015,TX-100129,2026-07-24,Unusual transaction pattern,Unusual transaction pattern,Medium,35,In review,1700.86,P-02,EUR,2026-07-22,Review the transaction pattern and supporting evidence.,Automated control detected unusual transaction pattern. No manual override applied.,70.1
EX-1042,TX-100488,2026-07-24,Unusual transaction pattern,Unusual transaction pattern,Medium,35,In review,1671.56,P-03,EUR,2026-07-19,Review the transaction pattern and supporting evidence.,Automated control detected unusual transaction pattern. No manual override applied.,70.0
EX-1037,TX-100443,2026-07-24,Unusual transaction pattern,Unusual transaction pattern,Medium,35,In review,1495.58,P-01,EUR,2026-07-15,Review the transaction pattern and supporting evidence.,Automated control detected unusual transaction pattern. No manual override applied.,69.1
EX-1009,TX-100066,2026-07-24,Unusual transaction pattern,Unusual transaction pattern,Medium,35,In review,1338.52,P-01,EUR,2026-07-09,Review the transaction pattern and supporting evidence.,Automated control detected unusual transaction pattern. No manual override applied.,67.1
EX-1052,TX-100634,2026-07-24,Unusual transaction pattern,Unusual transaction pattern,Medium,35,In review,1285.67,P-03,EUR,2026-07-20,Review the transaction pattern and supporting evidence.,Automated control detected unusual transaction pattern. No manual override applied.,65.0
EX-1023,TX-100231,2026-07-24,Unusual transaction pattern,Unusual transaction pattern,Medium,35,In review,1266.18,P-03,GBP,2026-07-05,Review the transaction pattern and supporting evidence.,Automated control detected unusual transaction pattern. No manual override applied.,65.5
EX-1045,TX-100560,2026-07-24,Unusual transaction pattern,Unusual transaction pattern,Medium,35,In review,1202.49,P-02,EUR,2026-07-05,Review the transaction pattern and supporting evidence.,Automated control detected unusual transaction pattern. No manual override applied.,62.1
EX-1002,TX-100009,2026-07-24,Unusual transaction pattern,Unusual transaction pattern,Medium,35,In review,1202.24,P-03,EUR,2026-07-08,Review the transaction pattern and supporting evidence.,Automated control detected unusual transaction pattern. No manual override applied.,63.7
EX-1046,TX-100576,2026-07-24,Unusual transaction pattern,Unusual transaction pattern,Medium,35,In review,1180.71,P-02,USD,2026-07-02,Review the transaction pattern and supporting evidence.,Automated control detected unusual transaction pattern. No manual override applied.,61.6
EX-1025,TX-100264,2026-07-24,Unusual transaction pattern,Unusual transaction pattern,Medium,35,In review,1171.79,P-03,EUR,2026-07-14,Review the transaction pattern and supporting evidence.,Automated control detected unusual transaction pattern. No manual override applied.,63.1
EX-1019,TX-100206,2026-07-24,Unusual transaction pattern,Unusual transaction pattern,Medium,35,In review,1126.7,P-01,USD,2026-07-10,Review the transaction pattern and supporting evidence.,Automated control detected unusual transaction pattern. No manual override applied.,63.0
EX-1028,TX-100307,2026-07-24,Unusual transaction pattern,Unusual transaction pattern,Medium,35,In review,1073.0,P-02,USD,2026-07-10,Review the transaction pattern and supporting evidence.,Automated control detected unusual transaction pattern. No manual override applied.,62.5
EX-1050,TX-100607,2026-07-24,Unusual transaction pattern,Unusual transaction pattern,Medium,35,In review,1050.91,P-03,EUR,2026-07-19,Review the transaction pattern and supporting evidence.,Automated control detected unusual transaction pattern. No manual override applied.,61.9
EX-1001,TX-100004,2026-07-24,Unusual transaction pattern,Unusual transaction pattern,Medium,35,In review,1024.14,P-01,EUR,2026-07-04,Review the transaction pattern and supporting evidence.,Automated control detected unusual transaction pattern. No manual override applied.,60.3
